SWING t:9.600000, st:100.000000, T=0.603186, Kx:0.005716, Kz:0.088234, x_swing:0.228654, x_support:39.771346, z:3.970517
SWING t:9.600000, st:100.000000, T=0.603186, Kx:0.005716, Kz:0.088234, x_swing:0.228654, x_support:39.771346, z:3.970517
SWING t:9.600000, st:100.000000, T=0.603186, Kx:0.005716, Kz:0.088234, x_swing:0.228654, x_support:39.771346, z:3.970517
SWING t:9.800000, st:100.000000, T=0.615752, Kx:0.006076, Kz:0.091830, x_swing:0.243058, x_support:39.756942, z:4.132367
SWING t:9.800000, st:100.000000, T=0.615752, Kx:0.006076, Kz:0.091830, x_swing:0.243058, x_support:39.756942, z:4.132367
SWING t:9.800000, st:100.000000, T=0.615752, Kx:0.006076, Kz:0.091830, x_swing:0.243058, x_support:39.756942, z:4.132367
SWING t:9.800000, st:100.000000, T=0.615752, Kx:0.006076, Kz:0.091830, x_swing:0.243058, x_support:39.756942, z:4.132367
SWING t:10.000000, st:100.000000, T=0.628319, Kx:0.006451, Kz:0.095492, x_swing:0.258043, x_support:39.741957, z:4.297118
SWING t:10.000000, st:100.000000, T=0.628319, Kx:0.006451, Kz:0.095492, x_swing:0.258043, x_support:39.741957, z:4.297118
SWING t:10.000000, st:100.000000, T=0.628319, Kx:0.006451, Kz:0.095492, x_swing:0.258043, x_support:39.741957, z:4.297118
SWING t:10.000000, st:100.000000, T=0.628319, Kx:0.006451, Kz:0.095492, x_swing:0.258043, x_support:39.741957, z:4.297118
SWING t:10.200000, st:100.000000, T=0.640885, Kx:0.006840, Kz:0.099217, x_swing:0.273619, x_support:39.726381, z:4.464743
