I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:150.000000, st:250.000000, x_swing:958.307566, x_support:-923.307566, z:126.631185
D/GAIT            []  SWING t:151.000000, st:250.000000, x_swing:968.264672, x_support:-933.264672, z:125.579323
D/GAIT            []  SWING t:152.000000, st:250.000000, x_swing:978.137335, x_support:-943.137335, z:124.492356
D/GAIT            []  SWING t:153.000000, st:250.000000, x_swing:987.922812, x_support:-952.922812, z:123.370971
D/GAIT            []  SWING t:154.000000, st:250.000000, x_swing:997.618412, x_support:-962.618412, z:122.215875
D/GAIT            []  SWING t:155.000000, st:250.000000, x_swing:1007.221502, x_support:-972.221502, z:121.027799
D/GAIT            []  SWING t:156.000000, st:250.000000, x_swing:1016.729509, x_support:-981.729509, z:119.807492
D/GAIT            []  SWING t:157.000000, st:250.000000, x_swing:1026.139916, x_support:-991.139916, z:118.555726
D/GAIT            []  SWING t:158.000000, st:250.000000, x_swing:1035.450272, x_support:-1000.450272, z:117.273291
D/GAIT            []  SWING t:159.000000, st:250.000000, x_swing:1044.658187, x_support:-1009.658187, z:115.960997
D/GAIT            []  SWING t:160.000000, st:250.000000, x_swing:1053.761336, x_support:-1018.761336, z:114.619673
D/GAIT            []  SWING t:161.000000, st:250.000000, x_swing:1062.757460, x_support:-1027.757460, z:113.250167
D/GAIT            []  SWING t:162.000000, st:250.000000, x_swing:1071.644367, x_support:-1036.644367, z:111.853342
D/GAIT            []  SWING t:163.000000, st:250.000000, x_swing:1080.419937, x_support:-1045.419937, z:110.430083
D/GAIT            []  SWING t:164.000000, st:250.000000, x_swing:1089.082116, x_support:-1054.082116, z:108.981286
D/GAIT            []  SWING t:165.000000, st:250.000000, x_swing:1097.628925, x_support:-1062.628925, z:107.507869
D/GAIT            []  SWING t:166.000000, st:250.000000, x_swing:1106.058456, x_support:-1071.058456, z:106.010760
D/GAIT            []  SWING t:167.000000, st:250.000000, x_swing:1114.368875, x_support:-1079.368875, z:104.490907
D/GAIT            []  SWING t:168.000000, st:250.000000, x_swing:1122.558426, x_support:-1087.558426, z:102.949268
D/GAIT            []  SWING t:169.000000, st:250.000000, x_swing:1130.625425, x_support:-1095.625425, z:101.386818
D/GAIT            []  SWING t:170.000000, st:250.000000, x_swing:1138.568269, x_support:-1103.568269, z:99.804543
D/GAIT            []  SWING t:171.000000, st:250.000000, x_swing:1146.385432, x_support:-1111.385432, z:98.203443
D/GAIT            []  SWING t:172.000000, st:250.000000, x_swing:1154.075468, x_support:-1119.075468, z:96.584529
D/GAIT            []  SWING t:173.000000, st:250.000000, x_swing:1161.637009, x_support:-1126.637009, z:94.948824
D/GAIT            []  SWING t:174.000000, st:250.000000, x_swing:1169.068771, x_support:-1134.068771, z:93.297360
D/GAIT            []  SWING t:175.000000, st:250.000000, x_swing:1176.369551, x_support:-1141.369551, z:91.631181
D/GAIT            []  SWING t:176.000000, st:250.000000, x_swing:1183.538228, x_support:-1148.538228, z:89.951340
D/GAIT            []  SWING t:177.000000, st:250.000000, x_swing:1190.573766, x_support:-1155.573766, z:88.258897
D/GAIT            []  SWING t:178.000000, st:250.000000, x_swing:1197.475212, x_support:-1162.475212, z:86.554921
D/GAIT            []  SWING t:179.000000, st:250.000000, x_swing:1204.241697, x_support:-1169.241697, z:84.840489
D/GAIT            []  SWING t:180.000000, st:250.000000, x_swing:1210.872439, x_support:-1175.872439, z:83.116683
D/GAIT            []  SWING t:181.000000, st:250.000000, x_swing:1217.366740, x_support:-1182.366740, z:81.384593
D/GAIT            []  SWING t:182.000000, st:250.000000, x_swing:1223.723990, x_support:-1188.723990, z:79.645312
D/GAIT            []  SWING t:183.000000, st:250.000000, x_swing:1229.943664, x_support:-1194.943664, z:77.899938
D/GAIT            []  SWING t:184.000000, st:250.000000, x_swing:1236.025325, x_support:-1201.025325, z:76.149575
D/GAIT            []  SWING t:185.000000, st:250.000000, x_swing:1241.968621, x_support:-1206.968621, z:74.395327
D/GAIT            []  SWING t:186.000000, st:250.000000, x_swing:1247.773291, x_support:-1212.773291, z:72.638304
